departamento | apellido1 | apellido2 | nombre
Agronomía | Monahan | Murray | Micaela
Economía y Empresa | Fahey | Considine | Antonio
Economía y Empresa | Lemke | Rutherford | Cristina
Educación | Ruecker | Upton | Guillermo
Educación | Spencer | Lakin | Esther
Educación | Streich | Hirthe | Carmen
Informática | Hamill | Kozey | Manolo
Informática | Ramirez | Gea | Zoe
Matemáticas | Kohler | Schoen | Alejandro
Matemáticas | Schmidt | Fisher | David
Química y Física | Schowalter | Muller | Francesca
Química y Física | Stiedemann | Morissette | Alfredo
