id | nombre | apellido1 | apellido2 | total
14.00 | Manolo | Hamill | Kozey | 11.00
3.00 | Zoe | Ramirez | Gea | 10.00
5.00 | David | Schmidt | Fisher | 0.00
15.00 | Alejandro | Kohler | Schoen | 0.00
8.00 | Cristina | Lemke | Rutherford | 0.00
16.00 | Antonio | Fahey | Considine | 0.00
10.00 | Esther | Spencer | Lakin | 0.00
12.00 | Carmen | Streich | Hirthe | 0.00
17.00 | Guillermo | Ruecker | Upton | 0.00
18.00 | Micaela | Monahan | Murray | 0.00
13.00 | Alfredo | Stiedemann | Morissette | 0.00
20.00 | Francesca | Schowalter | Muller | 0.00
