apellido1 | apellido2 | nombre | departamento
Fahey | Considine | Antonio | Economía y Empresa
Hamill | Kozey | Manolo | Informática
Kohler | Schoen | Alejandro | Matemáticas
Lemke | Rutherford | Cristina | Economía y Empresa
Monahan | Murray | Micaela | Agronomía
Ramirez | Gea | Zoe | Informática
Ruecker | Upton | Guillermo | Educación
Schmidt | Fisher | David | Matemáticas
Schowalter | Muller | Francesca | Química y Física
Spencer | Lakin | Esther | Educación
Stiedemann | Morissette | Alfredo | Química y Física
Streich | Hirthe | Carmen | Educación
